epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,57039.3,1.00676,1.34944,1.2261,0.65472,0.41558,0.45822,0.31599,1.15501,4.56387,1.26002,5.66314e-05,5.66314e-05,5.66314e-05
60,57993.6,1.00806,1.34708,1.21455,0.67681,0.3851,0.44925,0.31298,1.16104,4.45253,1.25115,5.53147e-05,5.53147e-05,5.53147e-05
61,58817.6,1.0099,1.33608,1.22338,0.64557,0.39351,0.45802,0.3158,1.15799,4.53593,1.26534,5.3998e-05,5.3998e-05,5.3998e-05
62,59561.8,1.01339,1.31041,1.21183,0.59161,0.42957,0.45778,0.31652,1.16354,4.35795,1.26562,5.26813e-05,5.26813e-05,5.26813e-05
63,60338.1,0.99739,1.3226,1.21869,0.62446,0.39606,0.43006,0.29645,1.18112,4.38188,1.27892,5.13646e-05,5.13646e-05,5.13646e-05
64,61055.2,0.99254,1.28945,1.21099,0.63614,0.40469,0.44537,0.3021,1.15943,4.46682,1.25504,5.00479e-05,5.00479e-05,5.00479e-05
65,61782.9,0.98968,1.29324,1.21529,0.63063,0.39479,0.42699,0.29675,1.1624,4.22103,1.24368,4.87312e-05,4.87312e-05,4.87312e-05
66,62578.3,0.98504,1.31212,1.21157,0.62255,0.4475,0.46659,0.31912,1.17072,4.19582,1.25858,4.74145e-05,4.74145e-05,4.74145e-05
67,63322.9,1.00243,1.29014,1.21729,0.68942,0.41798,0.45523,0.31917,1.15812,4.15567,1.25559,4.60978e-05,4.60978e-05,4.60978e-05
68,64193.9,0.97275,1.26331,1.19418,0.63875,0.43277,0.46113,0.32167,1.16901,4.19367,1.26284,4.47811e-05,4.47811e-05,4.47811e-05
69,65051.2,0.97703,1.26243,1.19322,0.63192,0.42256,0.44945,0.30557,1.17416,4.11957,1.27596,4.34644e-05,4.34644e-05,4.34644e-05
70,65780.4,0.97056,1.26281,1.19815,0.60995,0.44414,0.45837,0.30533,1.17608,3.99891,1.28437,4.21477e-05,4.21477e-05,4.21477e-05
